sensor_id,sensor_type,value,unit,timestamp
TEMP_001,temperature,92.18,C,2026-01-23T15:33:06.697890
HUM_001,humidity,71.27,%,2026-01-23T15:33:06.699320
PRESS_001,pressure,80.68,hPa,2026-01-23T15:33:06.700489
TEMP_001,temperature,54.97,C,2026-01-23T15:33:07.702058
HUM_001,humidity,37.39,%,2026-01-23T15:33:07.703073
PRESS_001,pressure,96.11,hPa,2026-01-23T15:33:07.705682
TEMP_001,temperature,55.92,C,2026-01-23T15:33:08.706990
HUM_001,humidity,59.99,%,2026-01-23T15:33:08.709036
PRESS_001,pressure,61.38,hPa,2026-01-23T15:33:08.710709
TEMP_001,temperature,39.26,C,2026-01-23T15:33:09.712483
HUM_001,humidity,45.13,%,2026-01-23T15:33:09.718902
PRESS_001,pressure,48.66,hPa,2026-01-23T15:33:09.723205
TEMP_001,temperature,93.97,C,2026-01-24T15:45:05.114945
HUM_001,humidity,82.28,%,2026-01-24T15:45:05.117118
PRESS_001,pressure,44.19,hPa,2026-01-24T15:45:05.118713
TEMP_001,temperature,61.99,C,2026-01-24T15:45:06.121401
HUM_001,humidity,25.44,%,2026-01-24T15:45:06.123987
PRESS_001,pressure,16.21,hPa,2026-01-24T15:45:06.126702
TEMP_001,temperature,32.87,C,2026-01-24T15:45:07.130172
HUM_001,humidity,41.71,%,2026-01-24T15:45:07.133572
PRESS_001,pressure,28.44,hPa,2026-01-24T15:45:07.138897
TEMP_001,temperature,27.76,C,2026-01-24T15:45:08.142607
HUM_001,humidity,59.83,%,2026-01-24T15:45:08.145019
PRESS_001,pressure,27.11,hPa,2026-01-24T15:45:08.147070
TEMP_001,temperature,49.37,C,2026-01-24T15:45:09.149772
HUM_001,humidity,95.61,%,2026-01-24T15:45:09.153981
PRESS_001,pressure,64.49,hPa,2026-01-24T15:45:09.158111
TEMP_001,temperature,74.1,C,2026-01-24T15:45:10.161473
HUM_001,humidity,30.49,%,2026-01-24T15:45:10.164745
PRESS_001,pressure,71.21,hPa,2026-01-24T15:45:10.168143
TEMP_001,temperature,73.08,C,2026-01-24T15:45:11.172765
HUM_001,humidity,25.25,%,2026-01-24T15:45:11.175429
PRESS_001,pressure,31.48,hPa,2026-01-24T15:45:11.177250
TEMP_001,temperature,21.66,C,2026-01-24T15:45:12.180895
HUM_001,humidity,70.05,%,2026-01-24T15:45:12.185089
PRESS_001,pressure,67.35,hPa,2026-01-24T15:45:12.187506
TEMP_001,temperature,70.88,C,2026-01-24T15:45:13.191085
HUM_001,humidity,54.9,%,2026-01-24T15:45:13.194080
PRESS_001,pressure,61.21,hPa,2026-01-24T15:45:13.196843
TEMP_001,temperature,14.62,C,2026-01-24T15:45:14.201884
HUM_001,humidity,43.56,%,2026-01-24T15:45:14.204717
PRESS_001,pressure,37.19,hPa,2026-01-24T15:45:14.206899
TEMP_001,temperature,13.07,C,2026-01-24T15:45:15.209905
HUM_001,humidity,46.58,%,2026-01-24T15:45:15.214208
PRESS_001,pressure,65.96,hPa,2026-01-24T15:45:15.217142
TEMP_001,temperature,89.81,C,2026-01-24T15:45:16.220823
HUM_001,humidity,69.73,%,2026-01-24T15:45:16.223449
PRESS_001,pressure,19.93,hPa,2026-01-24T15:45:16.225577
TEMP_001,temperature,55.16,C,2026-01-24T15:45:17.229009
HUM_001,humidity,85.0,%,2026-01-24T15:45:17.232677
PRESS_001,pressure,48.32,hPa,2026-01-24T15:45:17.235253
TEMP_001,temperature,51.9,C,2026-01-24T15:45:18.238093
HUM_001,humidity,91.83,%,2026-01-24T15:45:18.240584
PRESS_001,pressure,74.76,hPa,2026-01-24T15:45:18.243468
TEMP_001,temperature,42.56,C,2026-01-24T15:45:19.247115
HUM_001,humidity,75.11,%,2026-01-24T15:45:19.250520
PRESS_001,pressure,38.01,hPa,2026-01-24T15:45:19.252927
TEMP_001,temperature,69.74,C,2026-01-24T15:45:20.256394
HUM_001,humidity,61.93,%,2026-01-24T15:45:20.259573
PRESS_001,pressure,30.18,hPa,2026-01-24T15:45:20.262312
TEMP_001,temperature,53.68,C,2026-01-24T15:45:21.265723
HUM_001,humidity,81.55,%,2026-01-24T15:45:21.268800
PRESS_001,pressure,81.56,hPa,2026-01-24T15:45:21.271377
